game_id,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs,home_pitcher,vis_pitcher
ANA202404050,ANA,BOS,0,0,sorij002,martc007
ANA202404060,ANA,BOS,0,0,detmr001,weisg001
ANA202404070,ANA,BOS,0,0,silsc001,houct001
ANA202404080,ANA,TBA,2,0,andet002,efliz001
ANA202404090,ANA,TBA,2,0,sandp002,civaa001
ANA202404100,ANA,TBA,0,3,sorij002,kellk004
ANA202404220,ANA,BAL,0,0,detmr001,suara001
ANA202404230,ANA,BAL,1,0,canng001,rodrg003
ANA202404240,ANA,BAL,0,0,andet002,kremd001
ANA202404260,ANA,MIN,0,0,sandp002,oberb002
ANA202404270,ANA,MIN,0,1,sorij002,paddc001
ANA202404280,ANA,MIN,0,0,detmr001,lopep002
ANA202404290,ANA,PHI,1,3,cimba001,domis001
ANA202404300,ANA,PHI,0,0,estec001,alvaj004
ANA202405010,ANA,PHI,0,0,sandp002,wheez001
ANA202405090,ANA,KCA,0,0,detmr001,wachm001
ANA202405100,ANA,KCA,0,0,estec001,dufft001
ANA202405110,ANA,KCA,0,1,andet002,ragac001
ANA202405120,ANA,KCA,0,0,sandp002,lugos001
ANA202405130,ANA,SLN,0,0,moorm003,leahk001
ANA202405140,ANA,SLN,0,0,strih001,grays001
ANA202405150,ANA,SLN,4,0,canng001,lynnl001
ANA202405240,ANA,CLE,1,0,sandp002,allel003
ANA202405250,ANA,CLE,0,0,sorij002,bibet001
ANA202405260,ANA,CLE,0,0,detmr001,liveb001
ANA202405280,ANA,NYA,2,1,moorm003,weavl001
ANA202405290,ANA,NYA,0,0,andet002,gil-l001
ANA202405300,ANA,NYA,0,0,sandp002,rodoc001
ANA202406030,ANA,SDN,0,1,strih001,morea001
ANA202406040,ANA,SDN,0,0,moorm003,matsy001
ANA202406050,ANA,SDN,1,0,sorij002,ceasd001
ANA202406070,ANA,HOU,0,1,canng001,valdf001
ANA202406080,ANA,HOU,0,0,andet002,browh001
ANA202406090,ANA,HOU,0,0,estec001,hadej001
ANA202406170,ANA,MIL,0,0,plesz001,rodrc003
ANA202406180,ANA,MIL,0,1,canng001,myert001
ANA202406190,ANA,MIL,0,1,andet002,peraf001
ANA202406240,ANA,OAK,2,0,canng001,medil002
ANA202406250,ANA,OAK,0,0,andet002,spenm001
ANA202406260,ANA,OAK,0,0,moorm003,estej001
ANA202406270,ANA,DET,0,0,danid001,flahj002
ANA202406280,ANA,DET,2,0,garcl005,mills001
ANA202406290,ANA,DET,0,1,joycb001,folej001
ANA202406300,ANA,DET,0,1,andet002,mizec001
ANA202407080,ANA,TEX,0,2,danid001,grayj003
ANA202407090,ANA,TEX,0,1,garcl005,leclj001
ANA202407100,ANA,TEX,0,0,crouh001,lorem002
ANA202407110,ANA,SEA,0,4,kochj001,castl003
ANA202407120,ANA,SEA,2,2,crouh001,votha001
ANA202407130,ANA,SEA,0,1,sorij002,kirbg001
ANA202407140,ANA,SEA,0,0,crouh001,votha001
ANA202407250,ANA,OAK,0,2,rosek001,strir001
ANA202407260,ANA,OAK,4,0,crouh001,blacp001
ANA202407270,ANA,OAK,0,3,andet002,spenm001
ANA202407280,ANA,OAK,0,0,contr001,bidoo001
ANA202407300,ANA,COL,2,2,quijj001,birdj001
ANA202407310,ANA,COL,0,1,crouh001,freek001
ANA202408010,ANA,COL,0,0,crouh001,vodnv001
ANA202408020,ANA,NYN,0,0,andet002,blacp001
ANA202408030,ANA,NYN,1,0,moorm003,brazh001
ANA202408040,ANA,NYN,0,0,canng001,quinj001
ANA202408120,ANA,TOR,0,0,danid001,franb002
ANA202408130,ANA,TOR,0,3,fulmc001,gausk001
ANA202408140,ANA,TOR,0,0,andet002,berrj001
ANA202408160,ANA,ATL,0,0,burkb001,schws001
ANA202408170,ANA,ATL,0,3,canng001,salec001
ANA202408180,ANA,ATL,0,1,kochj001,mortc002
ANA202408300,ANA,SEA,2,5,aldes001,kirbg001
ANA202408310,ANA,SEA,0,0,joycb001,munoa002
ANA202409010,ANA,SEA,1,0,danac001,millb004
ANA202409030,ANA,LAN,0,0,contr001,kopem001
ANA202409040,ANA,LAN,5,0,canng001,millb005
ANA202409130,ANA,HOU,0,0,aldes001,kikuy001
ANA202409140,ANA,HOU,1,1,andet002,verlj001
ANA202409150,ANA,HOU,0,0,danac001,blanr001
ANA202409160,ANA,CHA,0,3,detmr001,cannj001
ANA202409170,ANA,CHA,0,0,canng001,martd006
ANA202409180,ANA,CHA,0,0,quijj001,iriaj001
ANA202409270,ANA,TEX,1,3,detmr001,robed005
ANA202409280,ANA,TEX,0,0,quijj001,dunnd001
ANA202409290,ANA,TEX,0,0,kochj001,eovan001
ARI202403280,ARI,COL,2,0,gallz001,freek001
ARI202403290,ARI,COL,2,0,kellm002,quanc001
ARI202403300,ARI,COL,2,0,henrt001,lambp001
ARI202403310,ARI,COL,3,0,pfaab001,feltr001
ARI202404010,ARI,NYA,0,0,nelsr003,weavl001
ARI202404020,ARI,NYA,3,0,gallz001,cortn001
ARI202404030,ARI,NYA,0,0,mcgos001,holmc001
ARI202404120,ARI,SLN,0,3,mantj002,gallg001
ARI202404130,ARI,SLN,1,0,nelsr003,gibsk002
ARI202404140,ARI,SLN,0,0,gallz001,mikom001
ARI202404150,ARI,CHN,0,0,jarvb001,thomk002
ARI202404160,ARI,CHN,0,0,ginkk001,smyld001
ARI202404170,ARI,CHN,1,0,pfaab001,wesnh001
ARI202404290,ARI,LAN,1,0,henrt001,paxtj001
ARI202404300,ARI,LAN,0,0,mcgos001,crisn001
ARI202405010,ARI,LAN,0,0,montj004,yamay001
ARI202405030,ARI,SDN,0,0,ceccs001,ceasd001
ARI202405040,ARI,SDN,0,1,pfaab001,kingm002
ARI202405050,ARI,SDN,4,0,nelsr003,waldm003
ARI202405130,ARI,CIN,0,0,martj011,diaza004
ARI202405140,ARI,CIN,0,0,ceccs001,greeh001
ARI202405150,ARI,CIN,0,0,thomr007,cruzf002
ARI202405170,ARI,DET,0,0,nelsr003,skubt001
ARI202405180,ARI,DET,0,0,gallz001,flahj002
ARI202405190,ARI,DET,2,0,thomr007,holtt002
ARI202405240,ARI,MIA,0,0,gallz001,garrb001
ARI202405250,ARI,MIA,2,1,montj004,sancs001
ARI202405260,ARI,MIA,0,0,ginkk001,weatr001
ARI202406030,ARI,SFN,0,0,thomr007,rodrr010
ARI202406040,ARI,SFN,0,0,ginkk001,harrk001
ARI202406050,ARI,SFN,1,0,montj004,hjels001
ARI202406110,ARI,ANA,0,0,montj004,suarj001
ARI202406120,ARI,ANA,0,1,ceccs001,sorij002
ARI202406130,ARI,ANA,3,0,pfaab001,canng001
ARI202406140,ARI,CHA,0,0,nelsr003,flexc001
ARI202406150,ARI,CHA,1,0,vieit001,fedde001
ARI202406160,ARI,CHA,3,0,montj004,thord001
ARI202406250,ARI,MIN,2,0,ginkk001,alcaj001
ARI202406260,ARI,MIN,0,0,nelsr003,woods002
ARI202406270,ARI,MIN,0,0,montj004,festd001
ARI202406280,ARI,OAK,2,0,thomr007,alexs001
ARI202406290,ARI,OAK,0,0,gallz001,harrh002
ARI202406300,ARI,OAK,0,0,mantj002,mcfat001
ARI202407080,ARI,ATL,0,1,martj011,igler001
ARI202407090,ARI,ATL,0,0,gallz001,salec001
ARI202407100,ARI,ATL,0,0,thomr007,jimej003
ARI202407110,ARI,ATL,0,0,pfaab001,friem001
ARI202407120,ARI,TOR,0,0,martj011,greec003
ARI202407130,ARI,TOR,1,0,diazy005,berrj001
ARI202407140,ARI,TOR,0,0,ginkk001,richt001
ARI202407260,ARI,PIT,0,2,gallz001,mlodc001
ARI202407270,ARI,PIT,1,1,pfaab001,prieq001
ARI202407280,ARI,PIT,0,0,martj011,chapa001
ARI202407290,ARI,WAS,0,5,mantj002,finnk001
ARI202407300,ARI,WAS,2,0,nelsr003,corbp001
ARI202407310,ARI,WAS,0,0,gallz001,gorem001
ARI202408080,ARI,PHI,0,0,montj004,allak001
ARI202408090,ARI,PHI,1,0,martj011,hoffj003
ARI202408100,ARI,PHI,1,0,ginkk001,nolaa001
ARI202408110,ARI,PHI,1,2,kellm002,sancc002
ARI202408120,ARI,COL,0,0,pfaab001,molia001
ARI202408130,ARI,COL,0,0,mantj002,vodnv001
ARI202408140,ARI,COL,4,0,montj004,gordt002
ARI202408270,ARI,NYN,0,0,pfaab001,manas001
ARI202408280,ARI,NYN,0,0,thomr007,diaze006
ARI202408290,ARI,NYN,0,0,martj011,buttj001
ARI202408300,ARI,LAN,2,2,flord002,brasr001
ARI202408310,ARI,LAN,4,3,thomr007,caspb001
ARI202409010,ARI,LAN,0,0,pfaab001,wrobj001
ARI202409020,ARI,LAN,0,0,rodre004,flahj002
ARI202409100,ARI,TEX,2,0,gallz001,eovan001
ARI202409110,ARI,TEX,3,0,flord002,bradc003
ARI202409130,ARI,MIL,1,0,rodre004,peraf001
ARI202409140,ARI,MIL,0,1,pfaab001,myert001
ARI202409150,ARI,MIL,2,0,walsb001,koenj001
ARI202409230,ARI,SFN,1,0,rodre004,birdh001
ARI202409240,ARI,SFN,0,0,pfaab001,webbl001
ARI202409250,ARI,SFN,0,0,gallz001,blacm001
ARI202409270,ARI,SDN,2,4,kellm002,darvy001
ARI202409280,ARI,SDN,0,0,puk-a001,peraw002
ARI202409290,ARI,SDN,0,0,pfaab001,perem004
ATL202404050,ATL,ARI,1,3,johnp001,mcgos001
ATL202404060,ATL,ARI,0,6,minta001,frial001
ATL202404070,ATL,ARI,0,0,salec001,nelsr003
ATL202404080,ATL,NYN,0,0,johnp001,diekj001
ATL202404090,ATL,NYN,1,0,loper003,housa001
ATL202404110,ATL,NYN,0,1,winaa001,quinj001
ATL202404190,ATL,TEX,1,1,salec001,latzj001
ATL202404200,ATL,TEX,0,0,mortc002,eovan001
ATL202404210,ATL,TEX,3,0,vined001,lorem002
ATL202404220,ATL,MIA,0,0,eldeb001,weatr001
ATL202404230,ATL,MIA,0,0,friem001,roget003
ATL202404240,ATL,MIA,2,0,minta001,scott003
ATL202404260,ATL,CLE,0,1,salec001,allel003
ATL202404270,ATL,CLE,0,0,lee-d005,barls001
ATL202404280,ATL,CLE,0,0,minta001,clase001
ATL202405070,ATL,BOS,0,0,jimej003,slatj002
ATL202405080,ATL,BOS,4,0,salec001,piven001
ATL202405130,ATL,CHN,0,0,kerrr001,wesnh001
ATL202405140,ATL,CHN,1,0,salec001,tailj001
ATL202405150,ATL,CHN,0,3,mortc002,assaj001
ATL202405170,ATL,SDN,1,0,friem001,waldm003
ATL202405190,ATL,SDN,0,3,eldeb001,darvy001
ATL202405201,ATL,SDN,2,0,jimej003,britj003
ATL202405202,ATL,SDN,1,0,salec001,vasqr001
ATL202405270,ATL,WAS,0,4,mortc002,parkm001
ATL202405280,ATL,WAS,0,0,friem001,barnj002
ATL202405290,ATL,WAS,0,0,schws001,gorem001
ATL202405300,ATL,WAS,0,0,kerrr001,willt002
ATL202405310,ATL,OAK,1,0,loper003,searj001
ATL202406010,ATL,OAK,2,2,hergj001,kellm004
ATL202406020,ATL,OAK,1,0,lee-d005,adama002
ATL202406140,ATL,TBA,5,1,salec001,littz001
ATL202406150,ATL,TBA,0,1,mortc002,pepir001
ATL202406160,ATL,TBA,1,1,igler001,adamj002
ATL202406170,ATL,DET,0,0,hernd005,mills001
ATL202406180,ATL,DET,2,0,schws001,mizec001
ATL202406190,ATL,DET,0,0,loper003,skubt001
ATL202406280,ATL,PIT,0,0,mortc002,perem004
ATL202406290,ATL,PIT,1,0,hernd005,nicok001
ATL202406300,ATL,PIT,0,0,schws001,faltb001
ATL202407020,ATL,SFN,0,0,lee-d005,birdh001
ATL202407030,ATL,SFN,0,0,salec001,hickj002
ATL202407040,ATL,SFN,2,0,mortc002,webbl001
ATL202407050,ATL,PHI,0,0,friem001,nolaa001
ATL202407060,ATL,PHI,3,0,schws001,suarr001
ATL202407070,ATL,PHI,0,0,loper003,mercm002
ATL202407201,ATL,SLN,0,0,johnp001,roycc001
ATL202407202,ATL,SLN,1,1,eldeb001,grays001
ATL202407210,ATL,SLN,0,0,schws001,mikom001
ATL202407220,ATL,CIN,0,1,loper003,greeh001
ATL202407240,ATL,CIN,1,4,winaa001,molls001
ATL202408010,ATL,MIA,3,0,mortc002,meyem001
ATL202408020,ATL,MIA,0,2,bumma001,faucc001
ATL202408030,ATL,MIA,1,0,johnp001,crond001
ATL202408040,ATL,MIA,0,0,friem001,cabre003
ATL202408060,ATL,MIL,0,3,eldeb001,rea-c001
ATL202408070,ATL,MIL,2,0,johnp001,peraf001
ATL202408080,ATL,MIL,0,3,mortc002,pegue001
ATL202408200,ATL,PHI,0,0,holmg001,wheez001
ATL202408210,ATL,PHI,0,0,jimej003,stram001
ATL202408220,ATL,PHI,0,1,schws001,sancc002
ATL202408230,ATL,WAS,1,0,igler001,salae001
ATL202408240,ATL,WAS,0,0,bumma001,garcr008
ATL202408250,ATL,WAS,0,1,jackl001,barnj002
ATL202409030,ATL,COL,0,0,salec001,freek001
ATL202409040,ATL,COL,4,0,mortc002,blalb001
ATL202409050,ATL,COL,1,0,loper003,gomba001
ATL202409060,ATL,TOR,0,0,friem001,gausk001
ATL202409070,ATL,TOR,0,0,schws001,berrj001
ATL202409080,ATL,TOR,0,0,igler001,pop-z001
ATL202409090,ATL,CIN,0,0,mortc002,martn002
ATL202409130,ATL,LAN,1,0,schws001,knacl001
ATL202409140,ATL,LAN,1,0,salec001,flahj002
ATL202409150,ATL,LAN,0,0,igler001,kopem001
ATL202409160,ATL,LAN,0,0,friem001,phile001
ATL202409240,ATL,NYN,0,0,schws001,sevel001
ATL202409270,ATL,KCA,0,0,friem001,singb001
ATL202409280,ATL,KCA,0,0,igler001,longs002
ATL202409290,ATL,KCA,0,3,mortc002,marsa001
ATL202409301,ATL,NYN,0,0,johnp001,diaze006
ATL202409302,ATL,NYN,0,0,hernd005,luccj001
BAL202403280,BAL,ANA,2,1,burnc002,sandp002
BAL202403300,BAL,ANA,2,0,rodrg003,canng001
BAL202403310,BAL,ANA,0,2,wellt003,detmr001
BAL202404010,BAL,KCA,0,0,kimbc001,anden001
BAL202404020,BAL,KCA,0,0,irvic001,marsa001
BAL202404030,BAL,KCA,0,1,canoy001,smitw002
BAL202404120,BAL,MIL,0,0,wellt003,peraf001
BAL202404130,BAL,MIL,3,0,kremd001,pegue001
BAL202404140,BAL,MIL,1,1,canoy001,uriba001
BAL202404150,BAL,MIN,2,0,tated001,varll001
BAL202404160,BAL,MIN,0,0,rodrg003,paddc001
BAL202404170,BAL,MIN,1,0,kimbc001,jax-g001
BAL202404260,BAL,OAK,0,1,webbj002,spenm001
BAL202404270,BAL,OAK,0,0,irvic001,searj001
BAL202404280,BAL,OAK,0,0,kimbc001,mcfat001
BAL202404290,BAL,NYA,1,0,rodrg003,schmc002
BAL202404300,BAL,NYA,0,0,kremd001,cortn001
BAL202405010,BAL,NYA,0,0,burnc002,gil-l001
BAL202405020,BAL,NYA,0,0,akink001,rodoc001
BAL202405100,BAL,ARI,0,0,irvic001,pfaab001
BAL202405110,BAL,ARI,0,0,kimbc001,jarvb001
BAL202405120,BAL,ARI,0,0,kremd001,gallz001
BAL202405130,BAL,TOR,0,0,webbj002,romaj004
BAL202405150,BAL,TOR,1,0,could001,romaj004
BAL202405170,BAL,SEA,5,1,meanj001,millb004
BAL202405180,BAL,SEA,0,0,canoy001,stanr002
BAL202405190,BAL,SEA,2,0,burnc002,kirbg001
BAL202405270,BAL,BOS,0,0,irvic001,crisc002
BAL202405280,BAL,BOS,3,2,rodrg003,bellb002
BAL202405290,BAL,BOS,0,0,burnc002,crawk001
BAL202405310,BAL,TBA,0,0,perec004,lover001
BAL202406010,BAL,TBA,3,0,webbj002,bradt002
BAL202406020,BAL,TBA,1,0,tated001,armss001
BAL202406110,BAL,ATL,0,0,suara001,friem001
BAL202406120,BAL,ATL,0,0,akink001,jimej003
BAL202406130,BAL,ATL,0,2,irvic001,loper003
BAL202406140,BAL,PHI,0,1,webbj002,kerko001
BAL202406150,BAL,PHI,0,1,rodrg003,walkt004
BAL202406160,BAL,PHI,1,0,burnc002,wheez001
BAL202406240,BAL,CLE,1,1,povic001,bibet001
BAL202406250,BAL,CLE,2,1,irvic001,avilp001
BAL202406260,BAL,CLE,0,0,rodrg003,currx001
BAL202406270,BAL,TEX,3,0,burnc002,grayj003
BAL202406280,BAL,TEX,0,0,suara001,schem001
BAL202406290,BAL,TEX,0,1,povic001,lorem002
BAL202406300,BAL,TEX,0,0,irvic001,heana001
BAL202407090,BAL,CHN,0,1,kremd001,tailj001
BAL202407100,BAL,CHN,0,0,burnc002,imans001
